QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
FA-Nephro-RFT-011,Nephrology,Urinalysis & Renal Functions Test,A chronic alcoholic is brought to the ED after days of heavy drinking and poor oral intake. Urinalysis reveals high levels of ketones. Which specific condition is most likely responsible for this finding?,Pre-eclampsia,Starvation,Alcoholic ketoacidosis,Diabetic ketoacidosis,Type 1 RTA,C,
FA-Nephro-RFT-012,Nephrology,Urinalysis & Renal Functions Test,"A medical student is interpreting a normal urinalysis report. According to standard reference ranges, what is the normal range for urine specific gravity?",1.000 - 1.005,1.005 - 1.030,1.010 - 1.050,1.020 - 1.040,1.030 - 1.060,B,
FA-Nephro-RFT-013,Nephrology,Urinalysis & Renal Functions Test,A 24-hour urine collection is ordered for a healthy adult to evaluate glucose excretion. What is the standard reference value for normal glucose excretion over 24 hours?,<10 mg/24hrs,<50 mg/24hrs,<100 mg/24hrs,<150 mg/24hrs,<200 mg/24hrs,B,
FA-Nephro-RFT-014,Nephrology,Urinalysis & Renal Functions Test,"A 60-year-old female with chronic kidney disease complains of severe bone pain. Laboratory tests show significant hypophosphatemia. In adults, low phosphorus levels directly lead to which of the following bone pathologies?",Ricketts,Osteoporosis,Osteomalacia,Paget's disease,Osteopetrosis,C,
FA-Nephro-UTI-001,Nephrology,Urinary Tract Infection,"A 22-year-old sexually active female presents with dysuria, frequency, and suprapubic tenderness. Urine dipstick is positive for leukocyte esterase and nitrites. Urine culture eventually grows a Gram-negative, leading cause of lower UTIs. Which organism is most likely responsible?",Staphylococcus saprophyticus,Enterococcus species,Escherichia coli,Pseudomonas aeruginosa,Proteus mirabilis,C,
FA-Nephro-UTI-002,Nephrology,Urinary Tract Infection,"A young male presents with dysuria and pyuria. Routine urine cultures return completely negative for the usual urinary pathogens. According to clinical protocols, which of the following organisms should be strongly suspected in this presentation of sterile pyuria?",Proteus mirabilis,Klebsiella pneumoniae,Neisseria gonorrhoeae,Staphylococcus saprophyticus,Enterococcus faecalis,C,
FA-Nephro-UTI-003,Nephrology,Urinary Tract Infection,"A patient with a long-term indwelling catheter develops a multi-drug resistant urinary tract infection. The pathogen is identified as a Gram-negative rod. Based on common associations, which organism is a highly suspected culprit in this specific scenario?",Staphylococcus saprophyticus,Pseudomonas aeruginosa,Streptococcus pyogenes,Neisseria meningitidis,Haemophilus influenzae,B,
FA-Nephro-UTI-004,Nephrology,Urinary Tract Infection,"A 45-year-old female presents with fever, chills, nausea, and severe right-sided flank pain. Urinalysis shows numerous WBCs. A CT scan reveals perinephric stranding with striated parenchymal enhancement. This clinical picture is most consistent with infection of which specific anatomical level?",Urethra,Bladder,Ureter,Kidney,Prostate,D,
FA-Nephro-UTI-005,Nephrology,Urinary Tract Infection,"A 25-year-old female experiences recurrent lower urinary tract infections. Anatomically, women are significantly more likely to develop UTIs compared to men. By what specific factor does their shorter urethra increase this risk?",2x more likely,5x more likely,10x more likely,20x more likely,50x more likely,C,
FA-Nephro-UTI-006,Nephrology,Urinary Tract Infection,A patient develops an upper urinary tract infection (acute pyelonephritis). What is the recommended broad sequence of pharmacological treatment for an upper UTI?,Immediate surgical drainage,Short-course TMP/SMX alone,Broad spectrum followed by targeted antibiotics,Antifungal therapy followed by antibiotics,Strictly conservative management with fluids,C,
FA-Nephro-UTI-007,Nephrology,Urinary Tract Infection,A 50-year-old male with a history of recurrent kidney infections is evaluated for worsening renal function. A CT scan shows shrunken and atrophied renal tubules with prominent cortical scarring. This specific pathological finding is the hallmark of which condition?,Acute pyelonephritis,Chronic pyelonephritis,Renal cell carcinoma,Acute tubular necrosis,Minimal change disease,B,
FA-Patho & Immuno-Antibodies & MHC-001,Pathology & Immunology,Antibodies & MHC,"A 22-year-old female develops Toxic Shock Syndrome after prolonged use of a vaginal tampon. She presents with fever, vomiting, diarrhea, rash, and signs of shock. The causative organism, Staphylococcus aureus, releases TSST-1. What is the specific mechanism of action of this toxin?",It releases erythrogenic toxin A,It fixes complement via the Fc region,It cross-links the beta chain of the TCR to MHC class II on APCs,It promotes somatic hypermutation,It directly destroys the Fab fragment of immunoglobulins,C,
FA-Patho & Immuno-Antibodies & MHC-002,Pathology & Immunology,Antibodies & MHC,A patient undergoes serological testing which reveals an immunoglobulin isotype that is described as a massive pentamer. This specific antibody is the first produced during an immune response and is classically associated with cold autoimmune hemolytic anemia. Which region of this antibody is primarily responsible for fixing complement?,The Fab fragment,The Fc region,The variable region of the light chain,The hinge region,The antigen-binding site,B,
FA-Patho & Immuno-Antibodies & MHC-003,Pathology & Immunology,Antibodies & MHC,"A 30-year-old male is evaluated for a suspected immunodeficiency after presenting with recurrent airway and GI infections, along with an episode of anaphylaxis during a blood transfusion. Testing reveals normal levels of IgG and IgM but undetectable levels of another isotype, increasing his susceptibility to Giardia. Which specific structure typically produces the deficient immunoglobulin in a healthy individual?",Bone marrow,Thymus,Peyer patches,Liver,Splenic red pulp,C,
FA-Patho & Immuno-Antibodies & MHC-004,Pathology & Immunology,Antibodies & MHC,Which region of an immunoglobulin molecule strictly determines its specific isotype?,Variable region of the light chain,Variable region of the heavy chain,Fab fragment,Fc region,Disulfide hinge,D,
FA-Patho & Immuno-Antibodies & MHC-005,Pathology & Immunology,Antibodies & MHC,MHC Class I molecules are expressed by all nucleated cells. They are structurally associated with which specific protein?,Invariant chain protein,Beta-2 microglobulin,CD14,Superantigen,TCR alpha chain,B,
FA-Patho & Immuno-Antiretrovirals-001,Pathology & Immunology,Antiretrovirals,A patient newly diagnosed with HIV is prescribed a regimen including Abacavir and Tenofovir. These drugs competitively inhibit nucleotide binding to reverse transcriptase. What unique structural feature distinguishes Tenofovir from the other NRTIs in its class according to the text?,It is the only one that binds gp41,It is the only NRTI that isn't a nucleoside,"It contains ""VIR"" in the middle of its name",It targets the CD4 receptor directly,It prevents the maturation of new viruses,B,
FA-Patho & Immuno-Antiretrovirals-002,Pathology & Immunology,Antiretrovirals,"A patient on a highly active antiretroviral therapy (HAART) regimen presents for a follow-up. Blood work reveals increased creatine kinase levels, and the patient reports significant recent weight gain. Which class of medication, recognizable by the suffix ""-tegra"", is responsible for these adverse effects?",Protease Inhibitors,NRTIs,NNRTIs,Integrase Inhibitors,Entry/Fusion Inhibitors,D,
FA-Patho & Immuno-Antiretrovirals-003,Pathology & Immunology,Antiretrovirals,"An HIV-positive patient is started on a new medication regimen. The physician monitors the patient for hyperglycemia and GI intolerance, which are common adverse effects of a drug class that prevents the maturation of new viruses. Which specific drug belongs to this class?",Nevirapine,Enfuvirtide,Atazanavir,Raltegravir,Zidovudine,C,
FA-Patho & Immuno-Antiretrovirals-004,Pathology & Immunology,Antiretrovirals,A patient is prescribed Nevirapine as part of their antiretroviral therapy. This drug binds to reverse transcriptase at a different site than NRTIs. Which of the following is a known adverse effect specifically associated with this drug class?,Myelosuppression,Nephrotoxicity,Rash and hepatotoxicity,Increase creatine kinase,Hyperglycemia,C,
FA-Patho & Immuno-Antiretrovirals-005,Pathology & Immunology,Antiretrovirals,Non-Nucleoside Reverse Transcriptase Inhibitors (NNRTIs) bind directly to reverse transcriptase. Which of the following drugs belongs to this specific class?,Abacavir,Tenofovir,Efavirenz,Dolutegravir,Atazanavir,C,
FA-Patho & Immuno-Apoptosis Vs Necrosis-001,Pathology & Immunology,Apoptosis Vs Necrosis,Which of the following is an energy-dependent programmed cell death process that does not induce acute inflammation?,Coagulative necrosis,Caseous necrosis,Apoptosis,Liquefactive necrosis,Fibrinoid necrosis,C,
FA-Patho & Immuno-Apoptosis Vs Necrosis-002,Pathology & Immunology,Apoptosis Vs Necrosis,Fat necrosis characterized by saponification is classically seen following trauma to which of the following organs?,Liver and spleen,Heart and lungs,Brain and spinal cord,Breast and pancreas,Kidneys and adrenal glands,D,
FA-Patho & Immuno-Apoptosis Vs Necrosis-003,Pathology & Immunology,Apoptosis Vs Necrosis,"A cell undergoes injury resulting in DNA damage. This decreases hormonal stimulation and inactivates Bcl-2, allowing Bax and Bak to promote the release of a specific molecule that activates caspases. Which molecule is released from the mitochondria?",Perforin,Granzyme B,Cytochrome C,Fas Ligand,TNF-alpha,C,
FA-Patho & Immuno-Apoptosis Vs Necrosis-004,Pathology & Immunology,Apoptosis Vs Necrosis,"A 65-year-old male suffers an ischemic infarction of the brain. Months later, imaging reveals that the dead tissue has undergone enzymatic lysis, leaving a fluid-filled cavity. Which type of necrosis is characteristic of this finding?",Coagulative,Liquefactive,Gangrenous,Caseous,Fibrinoid,B,
FA-Patho & Immuno-Apoptosis Vs Necrosis-005,Pathology & Immunology,Apoptosis Vs Necrosis,A patient presents with acute pancreatitis. Inflammation and trauma release lipases that join with calcium to form chalky-white deposits in the adipose tissue. What is the specific term for this calcium deposition process?,Saponification,Caseation,Coagulation,Liquefaction,Fibrinoid deposition,A,
FA-Patho & Immuno-Apoptosis Vs Necrosis-006,Pathology & Immunology,Apoptosis Vs Necrosis,"A child presents with hepatosplenomegaly, generalized lymphadenopathy, and laboratory signs of autoimmunity. Genetic analysis reveals defective FasL and Fas binding preventing extrinsic apoptosis. What is the diagnosis?",Autoimmune Lymphoproliferative Syndrome,Follicular Lymphoma,Chronic Granulomatous Disease,Leukocyte Adhesion Deficiency,Chediak Higashi Syndrome,A,
FA-Patho & Immuno-Apoptosis Vs Necrosis-007,Pathology & Immunology,Apoptosis Vs Necrosis,A patient is diagnosed with Follicular Lymphoma. Cytogenetic analysis reveals a t[14:18] translocation. This mutation increases tumorigenesis by overexpressing a protein that actively decreases caspase activation. Which protein is overexpressed?,Bax,Bak,Cytochrome C,Bcl-2,FasL,D,
FA-Patho & Immuno-Carcinogens-001,Pathology & Immunology,Carcinogens,A 45-year-old shipyard worker with a long history of handling old roof insulation presents with shortness of breath. He is found to have a malignancy related to asbestos exposure. Which of the following is the most likely cancer to develop over time in this patient?,Mesothelioma,Bronchogenic Carcinoma,Hepatic Angiosarcoma,Transitional Carcinoma,Hepatocellular Carcinoma,B,
FA-Patho & Immuno-Carcinogens-002,Pathology & Immunology,Carcinogens,"A 55-year-old male presents with hematuria. His occupational history reveals long-term exposure to benzadines in a dye manufacturing plant. He also has a 20 pack-year smoking history, exposing him to naphthylamines. Because both of these exposures contain aromatic amines, he is at highest risk for which type of cancer?",Gastric cancer,Lung Carcinoma,Papillary Thyroid Cancer,Transitional Carcinoma,Squamous Cell Carcinoma,D,
FA-Patho & Immuno-Carcinogens-003,Pathology & Immunology,Carcinogens,An outbreak of liver cancer is observed in a community where diets consist heavily of stored grains and peanuts. Investigation reveals contamination by Aspergillus. Which specific carcinogen produced by this mold is responsible for causing Hepatocellular Carcinoma?,Arsenic,Vinyl Chloride,Nitrosamines,Aflatoxin,Heavy Metals,D,
FA-Patho & Immuno-Carcinogens-004,Pathology & Immunology,Carcinogens,"Exposure to aromatic amines, such as benzadines found in dyes, is heavily linked to the development of which specific cancer?",Hepatocellular carcinoma,Transitional carcinoma,Mesothelioma,Gastric cancer,Squamous cell carcinoma,B,
FA-Patho & Immuno-Carcinogens-005,Pathology & Immunology,Carcinogens,Infection-induced urticaria is a type of nonallergic hypersensitivity. Which parasitic infection is explicitly noted to cause this reaction?,Mycoplasma,Rotavirus,Anisakis simplex,Giardia lamblia,Cryptosporidium,C,
FA-Patho & Immuno-Cardinal Signs of Inflammation-001,Pathology & Immunology,Cardinal Signs of Inflammation,A patient presents with a systemic infection and a fever. Interleukin-1 (IL-1) production is increased. IL-1 directly leads to the increased production of which mediator that stimulates the thermoregulatory centers in the hypothalamus?,Histamine,Bradykinin,Nitric Oxide,PGE2,Serotonin,D,
FA-Patho & Immuno-Cardinal Signs of Inflammation-002,Pathology & Immunology,Cardinal Signs of Inflammation,A 55-year-old male is admitted with a severe bacterial infection. The physician orders an acute phase reactant level specifically used to help follow the progression of bacterial infections. Which marker is ordered?,C-Reactive Protein (CRP),Procalcitonin,Ferritin,Serum Amyloid,Erythrocyte Sedimentation Rate (ESR),B,
FA-Patho & Immuno-Cardinal Signs of Inflammation-003,Pathology & Immunology,Cardinal Signs of Inflammation,"A blood culture from a septic patient grows gram-negative bacteria. The outer membrane of these bacteria contains lipopolysaccharide (LPS) endotoxin. LPS triggers macrophage activation via TLR4/CD14, leading to the release of a cytokine that causes both fever and hypotension. Which cytokine is this?",IL-1,IL-6,TNF-alpha,Nitric oxide,C3a,C,
FA-Patho & Immuno-Cardinal Signs of Inflammation-004,Pathology & Immunology,Cardinal Signs of Inflammation,"A physician is investigating a patient with a high Erythrocyte Sedimentation Rate (ESR). Based on the ""NAPKIN"" mnemonic, which of the following is a known cause of high ESR?",Microcytosis,Heart failure,Polycythemia,Sickle cell anemia,Pregnancy,E,
FA-Patho & Immuno-Cardinal Signs of Inflammation-005,Pathology & Immunology,Cardinal Signs of Inflammation,Which inflammatory mediator is primarily responsible for mediating the symptom of pain (dolor)?,Histamine,Nitric oxide,Bradykinin,Serotonin,Interleukin-1,C,
FA-Patho & Immuno-Cardinal Signs of Inflammation-006,Pathology & Immunology,Cardinal Signs of Inflammation,Endotoxins are toxic molecules bound to the outer wall of bacteria. Which specific component of the endotoxin is responsible for macrophage activation and shock?,O-antigen,Core polysaccharide,Lipid A,Peptidoglycan,Teichoic acid,C,
FA-Patho & Immuno-Cell Cycle Pharmacology-001,Pathology & Immunology,Cell Cycle Pharmacology,"A 4-year-old boy is diagnosed with an immunodeficiency characterized by impaired double-stranded DNA break repair and cell-cycle checkpoint control. This leads to a failure in the G1 to S transition. According to the text, this condition is caused by a mutation in which of the following genes?",ATM,TP53,BCL-2,Rb,MYC,A,
FA-Patho & Immuno-Cell Cycle Pharmacology-002,Pathology & Immunology,Cell Cycle Pharmacology,A 35-year-old male is treated for testicular cancer with an antineoplastic agent that works by generating free radicals. He subsequently presents with progressive shortness of breath and a non-productive cough. Imaging suggests pulmonary fibrosis. Which drug was most likely administered?,Bleomycin,Paclitaxel,Cisplatin,Etoposide,Methotrexate,A,
FA-Patho & Immuno-Cell Cycle Pharmacology-003,Pathology & Immunology,Cell Cycle Pharmacology,"A patient with an autoimmune disease is stabilized on Azathioprine. He recently develops gout, and his physician considers prescribing a gout medication like allopurinol. Co-administration risks severe liver toxicity because Azathioprine is directly metabolized by which enzyme?",Thymidylate synthase,Dihydrofolate reductase,Ribonucleotide reductase,Xanthine oxidase,Topoisomerase I,D,
FA-Patho & Immuno-Cell Cycle Pharmacology-004,Pathology & Immunology,Cell Cycle Pharmacology,"A 60-year-old patient with colon cancer is treated with a pyrimidine analog. A few weeks later, he develops painful erythema and swelling on the palms of his hands and the soles of his feet (Hand-foot syndrome). Which of the following is the specific enzyme inhibited by this drug?",Ribonucleotide reductase,Thymidylate synthase,Topoisomerase II,Beta-tubulin,Xanthine oxidase,B,
FA-Patho & Immuno-Cell Cycle Pharmacology-005,Pathology & Immunology,Cell Cycle Pharmacology,"A patient receiving chemotherapy for a solid tumor develops prominent peripheral neuropathy. The responsible drug binds to beta-tubulin, preventing the assembly of microtubules. Based on the provided pharmacology tables, which drug is this?",Vincristine,Vinblastine,Paclitaxel,Cisplatin,Carmustine,A,
FA-Patho & Immuno-Cell Cycle Pharmacology-006,Pathology & Immunology,Cell Cycle Pharmacology,"A 50-year-old patient with an aggressive brain tumor requires chemotherapy. The oncologist selects an alkylating agent specifically because it can cross the blood-brain barrier. Which drug is this, keeping in mind its potential for CNS toxicity?",Cisplatin,Cyclophosphamide,Carmustine,Bleomycin,Dactinomycin,C,
FA-Patho & Immuno-Cell Cycle Pharmacology-007,Pathology & Immunology,Cell Cycle Pharmacology,Which antimetabolite drug specifically functions by inhibiting ribonucleotide reductase?,Methotrexate,5-Fluorouracil,Cytarabine,Hydroxyurea,Cladribine,D,
FA-Patho & Immuno-Cell Cycle Pharmacology-008,Pathology & Immunology,Cell Cycle Pharmacology,"Topoisomerase I inhibitors, such as Irinotecan, work by preventing DNA unwinding. They are recognized by which distinct suffix?",#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,B,
FA-Patho & Immuno-Cellular Adaptation-001,Pathology & Immunology,Cellular Adaptation,A 55-year-old male with prolonged carpal tunnel syndrome shows marked flattening of his thenar eminence. Which of the following mechanisms is primarily responsible for the reduction in cell size within this muscle tissue?,Apoptosis,Autophagic vacuole fusion,Ubiquitin-proteasome degradation,Stem cell proliferation,Metaplastic transformation,C,
FA-Patho & Immuno-Cellular Adaptation-002,Pathology & Immunology,Cellular Adaptation,"A 65-year-old male undergoes a biopsy of an enlarged prostate gland. The pathology report indicates benign prostatic hyperplasia. Based on this cellular adaptation, what is his risk of developing prostate cancer directly from this specific lesion?",High risk of direct transformation to adenocarcinoma,Increased risk due to stem cell proliferation,No increased risk,Progresses to dysplasia before cancer,Moderate risk dependent on stress level,C,
FA-Patho & Immuno-Cellular Adaptation-003,Pathology & Immunology,Cellular Adaptation,"A 45-year-old female with long-standing persistent acid reflux undergoes endoscopy, revealing a change from squamous to columnar epithelium in the lower esophagus. If the stress persists, this adaptation may directly transform into which of the following?",Hypertrophy,Dysplasia,Apoptosis,Aplasia,Autophagy,B,
FA-Patho & Immuno-Cellular Adaptation-004,Pathology & Immunology,Cellular Adaptation,A biopsy of a mucosal lesion shows disordered cell growth and proliferation of precancerous cells. Which feature strictly distinguishes early dysplasia from an established carcinoma in this context?,It is early and reversible,It involves a change in cell type,It features ubiquitin tagging,It decreases cell size,It is strictly irreversible,A,
FA-Patho & Immuno-Cellular Adaptation-005,Pathology & Immunology,Cellular Adaptation,An ultrasound of a fetus reveals the complete failure of cellular development of the left renal system during embryogenesis. Which term best describes this pathological finding?,Atrophy,Hyperplasia,Aplasia,Dysplasia,Metaplasia,C,
FA-Patho & Immuno-Cellular Adaptation-006,Pathology & Immunology,Cellular Adaptation,"A bodybuilder heavily trains his skeletal muscles, resulting in noticeably increased muscle mass. Since skeletal muscle is a permanent cell population, the increase in size is strictly due to hypertrophy. Which other cell type is also considered a permanent cell population capable only of hypertrophy in response to stress?",Skin surface epithelium,Hematopoietic stem cells,Endometrial lining,Nerves,Conjunctival epithelium,D,
FA-Patho & Immuno-Cellular Adaptation-007,Pathology & Immunology,Cellular Adaptation,A 10-year-old child from a developing country with severe malnutrition presents with vision issues. Examination reveals simple squamous epithelium has transitioned to stratified keratinized squamous epithelium in the conjunctiva (keratomalacia). This is due to a deficiency of which vitamin?,Vitamin C,Vitamin D,Vitamin E,Vitamin A,Vitamin B12,D,
FA-Patho & Immuno-Cellular Adaptation-008,Pathology & Immunology,Cellular Adaptation,Which mechanism of cellular atrophy involves intermediate filaments being tagged and subsequently removed by proteasomes?,Autophagy,Apoptosis,Ubiquitin-proteasome pathway,Metaplasia,Dysplasia,C,
FA-Patho & Immuno-Cellular Adaptation-009,Pathology & Immunology,Cellular Adaptation,Which of the following conditions is an exception that features metaplasia but carries no increased risk of dysplasia transformation?,Barrett's esophagus,Apocrine metaplasia of breast,Endometrial hyperplasia,Keratomalacia,Cervical metaplasia,B,
FA-Patho & Immuno-Cellular Adaptation-010,Pathology & Immunology,Cellular Adaptation,Hyperplasia involves an increase in the number of cells. Which cell population is strictly unable to undergo hyperplasia?,Labile cells,Stable cells,Stem cells,Permanent cells,Epithelial cells,D,
FA-Patho & Immuno-Chemotoxicity & Monoclonals-001,Pathology & Immunology,Chemotoxicity & Monoclonals,"Dilated cardiomyopathy is a severe, known adverse effect associated with which class of chemotherapeutic agents?",Taxanes,Vinca Alkaloids,Anthracyclines,Topoisomerase Inhibitors,Microtubule Inhibitors,C,
FA-Patho & Immuno-Chemotoxicity & Monoclonals-002,Pathology & Immunology,Chemotoxicity & Monoclonals,Which monoclonal antibody specifically targets VEGF to inhibit blood vessel formation in tumors?,Rituximab,Cetuximab,Bevacizumab,Trastuzumab,Eculizumab,C,
FA-Patho & Immuno-Chemotoxicity & Monoclonals-003,Pathology & Immunology,Chemotoxicity & Monoclonals,"A pathologist is examining an undifferentiated tumor biopsy. To determine the tissue of origin, an immunohistochemical stain is performed, which tests positive for Desmin. This finding indicates the tumor originated from which of the following tissues?",Epidermis,Mesenchyme,Neuroglia,Muscle,Neuroendocrine cells,D,
FA-Patho & Immuno-Chemotoxicity & Monoclonals-004,Pathology & Immunology,Chemotoxicity & Monoclonals,"A 60-year-old female is receiving Cyclophosphamide for a solid tumor. She presents to the clinic complaining of gross hematuria. The physician suspects a specific organ toxicity associated with this cross-linking DNA agent. According to the Chemotoxicity Bear, which organ is primarily affected?",Heart,Lungs,Ears,Bladder,Kidneys,D,
FA-Patho & Immuno-Chemotoxicity & Monoclonals-005,Pathology & Immunology,Chemotoxicity & Monoclonals,"A 40-year-old female with Rheumatoid Arthritis is started on Rituximab, a monoclonal antibody that targets CD20. Her physician warns her about a rare but severe neurological complication, particularly if she is a carrier of the JC virus. What is this associated risk?",Dilated cardiomyopathy,Progressive multifocal leukoencephalopathy (PML),Tuberculosis reactivation,Agranulocytosis,Hemorrhage,B,
FA-Patho & Immuno-Chronic Inflammation-001,Pathology & Immunology,Chronic Inflammation,"A 25-year-old male presents with a persistent viral infection. During the immune response, extracellular antigens are phagocytosed by macrophages and presented to helper T-cells. For full CD4+ T-cell activation, a second activation signal is required. Which interaction provides this specific signal?",CD40 receptor on B cell binding CD40L,B7 on the APC binding to CD28 on the T-cell,TCR binding to MHC Class II,TCR binding to MHC Class I,Fas ligand binding to Fas receptor,B,
FA-Patho & Immuno-Chronic Inflammation-002,Pathology & Immunology,Chronic Inflammation,"An 8-month-old male infant presents with a history of recurrent bacterial infections, notably Giardia and Enterovirus. Laboratory workup reveals barely present lymphoid tissue and severely reduced levels of all immunoglobulins. Genetic testing identifies a mutation in a tyrosine kinase gene. This X-linked recessive condition primarily results in a failure of which process?",Isotype switching,T-cell receptor rearrangement,B-cell maturation,Macrophage activation,CD8+ T-cell activation,C,
FA-Patho & Immuno-Chronic Inflammation-003,Pathology & Immunology,Chronic Inflammation,"A patient is diagnosed with Hyper-IgM syndrome, characterized by recurrent pyogenic infections at mucosal sites. Laboratory results show markedly elevated IgM and decreased IgA, IgG, and IgE. This condition is directly caused by a mutation that prevents the second activation signal for B-cells. Which structure is mutated in this syndrome?",B7 or CD28,MHC Class II or TCR,CD40L or CD40 receptor,BTK gene,IL-4 or IL-5 receptors,C,
FA-Patho & Immuno-Chronic Inflammation-004,Pathology & Immunology,Chronic Inflammation,"A patient with an autoimmune disorder is found to have defective T-cell activation. Normally, CD8+ cytotoxic T-cells are activated when intracellular antigens are processed and presented on specific surface molecules. Which cell types normally express the MHC class required to activate CD8+ T-cells?",Only antigen-presenting cells,Only B-lymphocytes,All nucleated cells,Only mature helper T-cells,Only thymic epithelial cells,C,
FA-Patho & Immuno-Chronic Inflammation-005,Pathology & Immunology,Chronic Inflammation,"For full activation, a B-cell requires a second activation signal from a helper T-cell. This is achieved by the CD40 receptor on the B-cell binding to which ligand?",B7,CD28,CD40L,TCR,MHC Class II,C,
FA-Patho & Immuno-Chronic Inflammation-006,Pathology & Immunology,Chronic Inflammation,Bruton's Agammaglobulinemia is an X-linked recessive disorder preventing B-cell maturation. It is caused by a mutation in a gene encoding which type of enzyme?,Tyrosine kinase,Protease,Phospholipase,Hydroxylase,Reductase,A,
FA-Patho & Immuno-Free Radical Injury-001,Pathology & Immunology,Free Radical Injury,"A patient undergoing radiation therapy for a tumor develops local tissue damage. The photons induce direct cellular and DNA damage via enzyme oxidation and ionization. Which free radical, generated via the hydrolysis of water, is considered the most damaging in this process?",Superoxide anion,Hydrogen peroxide,Hydroxyl radical,Nitric oxide,Carbon tetrachloride,C,
FA-Patho & Immuno-Free Radical Injury-002,Pathology & Immunology,Free Radical Injury,A 4-year-old boy suffers from recurrent infections with Staphylococcus aureus and Serratia. A nitroblue tetrazolium (NBT) dye test is performed and the dye stays yellow/colourless. This patient most likely has an X-linked deficiency in which of the following enzymes?,Catalase,Superoxide Dismutase,Myeloperoxidase,NADPH Oxidase,Glutathione peroxidase,D,
FA-Patho & Immuno-Free Radical Injury-003,Pathology & Immunology,Free Radical Injury,"A 60-year-old man suffers a myocardial infarction. Blood flow is medically restored to the heart tissue, but cardiac enzymes subsequently leak further into the blood. The reactivation of enzymes and a burst of which entity is primarily responsible for this secondary damage via peroxidation of lipids?",Platelets,Complement proteins,Free radicals,Fibroblasts,Eosinophils,C,
FA-Patho & Immuno-Free Radical Injury-004,Pathology & Immunology,Free Radical Injury,A patient diagnosed with Wilson's disease presents with hepatic damage due to excess metal accumulation. Through which specific reaction do metals like Fe2+ and Cu generate hydroxyl free radicals in this condition?,Oxidative phosphorylation,Fenton reaction,P450 metabolism,Respiratory burst,Autolysis,B,
FA-Patho & Immuno-Free Radical Injury-005,Pathology & Immunology,Free Radical Injury,"A patient has a known deficiency in Myeloperoxidase. According to the provided diagram, this increases their risk of infection particularly from which organism, because HOCl is important for killing it?",Staphylococcus aureus,Serratia,Pseudomonas,Aspergillus,Candida,E,
FA-Patho & Immuno-Free Radical Injury-006,Pathology & Immunology,Free Radical Injury,Which enzyme specifically generates superoxide ions during the inflammatory respiratory burst?,Myeloperoxidase,Superoxide dismutase,Catalase,NADPH oxidase,Glutathione peroxidase,D,
FA-Patho & Immuno-Free Radical Injury-007,Pathology & Immunology,Free Radical Injury,The Fenton reaction damages hepatocytes in Hemochromatosis by generating which specific free radical?,Superoxide anion,Hydrogen peroxide,Hydroxyl radical,Nitric oxide,Carbon tetrachloride,C,
FA-Patho & Immuno-HIV-001,Pathology & Immunology,HIV,A patient tests positive for HIV. The virus utilizes specific envelope proteins to attach to and enter host cells. Which viral protein is explicitly responsible for fusing with the host membrane and facilitating viral entry?,p24,p17,gp120,gp41,Reverse transcriptase,D,
FA-Patho & Immuno-HIV-002,Pathology & Immunology,HIV,"A 30-year-old male presents with weight loss and opportunistic infections. An HIV-1/2 Ag/Ab immunoassay is performed. This diagnostic test detects the amount of IgG antibodies against HIV-1/2, as well as the number of specific capsid proteins, which provides high sensitivity and specificity. Which capsid protein is measured?",p17,gp120,p24,gp41,CCR5,C,
FA-Patho & Immuno-HIV-003,Pathology & Immunology,HIV,"A researcher is studying HIV infectivity. They isolate a strain of HIV that strictly targets T-cells. Based on co-receptor binding rules, this specific viral strain relies on interacting with which co-receptor found on T-cells?",CCR5,CXCR4,CD8,CD20,gp120,B,
FA-Patho & Immuno-HIV-004,Pathology & Immunology,HIV,"A 45-year-old untreated HIV-positive male presents with severe headaches and neurological deficits. His latest CD4 count is 85 cells/mm3. At this specific CD4 level (<100/mm3), which of the following organisms becomes a new risk for opportunistic infection that was not a primary risk at higher counts (e.g., >200)?",Candida,Epstein-Barr Virus (EBV),Pneumocystis jirovecii,JC Virus,Toxoplasma gondii,E,
FA-Patho & Immuno-HIV-005,Pathology & Immunology,HIV,"A 40-year-old untreated HIV-positive female is evaluated for AIDS-defining conditions. She presents with month-long diarrhea, fever, and myalgia. To meet the precise definition of Wasting Syndrome, she must also have experienced a specific percentage of body weight loss over 6 months. What is the required weight loss threshold?",>5% body weight,>10% body weight,>15% body weight,>20% body weight,>25% body weight,B,
FA-Patho & Immuno-HIV-006,Pathology & Immunology,HIV,"A 35-year-old male has been living with untreated HIV for several years. According to the serology graph of untreated infection, as the patient transitions into the final crisis stage (AIDS), which of the following immunological events occurs concurrently with the sharp decline of CD4+ T cells and the rise of HIV RNA?",Sharp spike in anti-envelope antibody (gp120),Immediate recovery of p24 antigen,Exhaustion of CD8+ T cells,Rapid proliferation of mucosal membrane infections,Peak of viral dissemination to lymphoid organs,C,
FA-Patho & Immuno-HIV-007,Pathology & Immunology,HIV,"During HIV infection, the virus uses the gp41 envelope protein for which specific function?",Attachment to CD4+ cells,Fusion and Entry,Creating dsDNA from viral RNA,Integration into host genome,Capsid assembly,B,
